	header	desc	author	date
15	‘Extreme Fear’ Crypto Crash Suddenly Wipes $200 Billion From The Price Of Bitcoin, Ethereum, BNB, XRP, Luna, Solana, Cardano And Avalanche	Bitcoin, ethereum and other major cryptocurrencies have fallen sharply, wiping around $200 billion from the crypto market in just a matter of days.	Billy Bambrough	May 8, 2022
16	The Stock Market Selling Storm Is Over - Time To Buy	This bear market appears to have reached bottom	John S. Tobey	May 7, 2022
17	The Recession No One Will Discuss; As Equity Investors Rush To Exit	The incoming data tell us that a recession is unfolding. Once that recession is recognized by the business community, the Fed will be forced to stop its tightening.	Robert Barone	May 7, 2022
18	Stock Market Price Levels Now: NASDAQ-100, S&P 500	Support levels are those areas on the price chart where enough buyers showed up previously to reverse the downward pressure of sellers.	John Navin	May 7, 2022
19	These 7%+ Dividends Are Built For A Recession	At times like this, our closed-end fund (CEF) dividends are a key tool to help see us through.	Michael Foster	May 7, 2022
20	When Will The Ukraine War Stop?	An avenue open to Vladimir Putin may be to use Victory Day to engage in some much needed risk management, and to declare a ‘mission accomplished’ in the context of a much degraded Russian army.	Mike O'Sullivan	May 7, 2022
21	Government Should Stop Punishing The Poor For Trying To Make Things A Little Better	Punitive rules make people even more dependent on government aid, not less.	Erik Sherman	May 7, 2022
22	Why 2022 Has Become The Kentucky Derby Of Investing	Today’s Kentucky Derby, horse racing’s most well-known event, is an unmistakable metaphor for so many things I see in the current investment markets.	Rob Isbitts	May 7, 2022
23	If Biden Doesn’t Cancel Student Loans, Here Are 5 Reasons Why	5 reasons why Biden may not cancel student loans.	Zack Friedman	May 7, 2022
24	‘A De Facto Ban’—Serious Bitcoin Warning Issued As Price Crash Hits Ethereum, BNB, XRP, Luna, Solana, Cardano And Avalanche	The chief strategy officer of $5 billion crypto asset manager CoinShares, Meltem Demirors, warned governments are going to try to ban bitcoin and other cryptocurrencies...	Billy Bambrough	May 7, 2022
25	Another Look: Marcum-Friedman Accountant Merger Would Quicken U.S. Firm’s Expansion In Asia	Combined firm will have approximately $1 billion in revenue	Russell Flannery	May 6, 2022
26	Update: BERY, PRDO, WLDN and KOP, May 6	Berry Global Group (BERY) reported earnings yesterday morning. Fiscal 2022 Q2 net sales grew 12.0% year-over-year to $3.78 billion and exceeded analysts’ expectations by $76.6 million as higher selling prices of $576 million stemming from the pass-through of inflation more than made up for a [...]	Taesik Yoon	May 6, 2022
27	Bitcoin Trades At Lowest Since February After Suffering Further Losses	Bitcoin prices logged additional losses today after the drop they suffered yesterday. Analysts weigh in on what drove these latest declines.	Charles Bovaird	May 6, 2022
28	The ‘Scamdemic’ Is Another Consequence Of Covid-19	Tips on how older adults can avoid falling victim to the 3 top scams: romance, cryptocurrency and imposter scams	Next Avenue	May 6, 2022
29	What Mothers Need To Know About Retirement	Financial security in retirement is increasingly precarious for most Americans, especially women. As we celebrate Mother’s Day, here are three things mothers need to know about retirement.	Dan Doonan	May 6, 2022
30	Stocks Fall For Fifth Straight Week As Experts Warn Of More Selloffs Ahead	Stocks extended losses from Thursday’s brutal selloff.	Sergei Klebnikov	May 6, 2022
31	Are You Comparing Your Retirement Investment Returns To The Right Metric?	"I often hear people discuss ""good investment returns."" But, I think it’s also important to know ""what to expect"" during your investment journey. Because your journey will surely be unique to your needs and values."	James Brewer	May 6, 2022
32	Stock Picking Challenge: What Are Your 3 Best Bets?	Can you beat the market?	John Dorfman	May 6, 2022
33	Investors Favor Macro Hedge Funds With Flows, But This Strategy Is Outperforming Macro	Investors also expected robust returns from macro funds, so they have already poured billions of dollars into the strategy year to date.	Jacob Wolinsky	May 6, 2022
34	Widows - The Forgotten Investors	The attention the FT gave to female baby boomer investors should come as no surprise to wealth managers, who should have been aware for some time now that widows often are neglected by financial advisors, who tend to develop relationships with the male spouse and then their children, who are seen...	April Rudin	May 6, 2022
35	Warren Buffett Takes Another Bite Out Of Apple	Legendary investor took advantage of a dip during the 1st quarter	GuruFocus	May 6, 2022
36	How Investors Should Navigate The Recent Volatility	Now is when investors should be thinking about increasing their equity exposure: historically, the best time to invest is when you feel the worst. Even highly experienced and successful investors find taking this plunge difficult, particularly when prices keep falling,	Jonathan Boyar	May 6, 2022
37	Robinhood Raises ACAT Fee By 33%; Fee Equates To 41% Of Median Balance	Robinhood is raising the fee to transfer assets from their Robinhood brokerage account to another institution by 33%.	Shahar Ziv	May 6, 2022
38	What The Fed Rate Hike Means For The Markets And Investors	The Fed rate hike is the biggest since 2000. Indexes gained immediately following the news, declining again on Thursday. Here’s what it means for investors.	Q.ai - Powering a Personal Wealth Movement	May 6, 2022
39	How To Take Control Of Your Career After 50	Advice from expert Kerry Hannon, who has just published a book on this	Next Avenue	May 6, 2022
40	Storm Clouds Hover Over Retirement Confidence In America	An annual survey finds that most workers feel chipper about retirement savings, but will that soon change?	Next Avenue	May 6, 2022
41	Should A Benchmark Price Correction Weigh Heavily On BP Stock?	In recent filings, the company reiterated its long-term profitability targets considering Brent at $66/bbl in 2025 and $73/bbl in 2030.	Trefis Team	May 6, 2022
42	PCAOB Officials Arrive In Beijing, Week In Review	Asian equities followed US equities lower except for Japan overnight as the delayed reaction to the US Fed’s 0.50% interest rate hike on Wednesday bled into Asian markets.	Brendan Ahern	May 6, 2022
43	Will Higher Interest Rates Finally Cool The Red-Hot Housing Market?	With the Fed raising interest rates, will the hot housing market finally start cooling off?	Robert Farrington	May 6, 2022
44	The Future of Retail Has Never Been Murkier	The future of retail is about as murky as it has ever been. One thing is clear though. In the center of it all is the customer. They are alive and well and always interested in engaging with interesting brands, innovative companies and great products.	Greg Petro	May 6, 2022
45	What’s Happening With Airbnb Stock?	The travel industry is witnessing a surge in demand as Covid-19 cases recede globally, and Airbnb is a prime beneficiary, given an increasing consumer preference for home shares and the company’s strength in cities and urban areas, where travel is likely to rebound even stronger.	Trefis Team	May 6, 2022
46	3 Ways To Avoid Ukraine-Linked Investment Cyber Scams	You’re probably getting bombarded with countless solicitations to help Ukraine.	John F. Wasik	May 6, 2022
47	Three Clever Ways Cyber Criminals Hack Your Personal Data	Here are three recent data stealing techniques to guard against: A Malicious QR Code, USB devices and fake charitable organizations.	Nancy L. Anderson	May 6, 2022
48	Labor Market Adds 428,000 Jobs and Remains Very Tight	The US labor market added 428,000 jobs in April - another month of solid payroll growth.	Harry Holzer	May 6, 2022
49	DENTSPLY Stock Is Likely To Offer Superior Returns Over This Pharmaceuticals Company	We think that DENTSPLY stock (NASDAQ: XRAY), a dental equipment company, is currently a better pick than Teva Pharmaceuticals stock (NYSE: TEVA), despite it being the more expensive of the two, trading at 2.0x trailing revenues compared to 0.5x for Teva.	Trefis Team	May 6, 2022
50	A New Plan To Combat Elder Poverty: Help People Save For Retirement	If we do nothing, the number of poor or near-poor people over the age of 62 will increase by 25% between 2018 and 2045, from 17.5 million to 21.8 million.	Teresa Ghilarducci	May 6, 2022
51	U.S. Added 428,000 Jobs In April—Beating Expectations As Hot Labor Market Spurs Fed Rate Hikes	Job gains in April surpassed the roughly 400,000 new jobs economists had forecast.	Jonathan Ponciano	May 6, 2022
52	Busted Bausch + Lomb IPO To Doom IPO Market, Cash Burning Startups	Bausch + Lomb's busted IPO will cost its parent billions in write-downs. It also signals trouble ahead for the IPO market and venture backed startups	Peter Cohan	May 6, 2022
53	Will Washington Kill Tax Credits For U.S. Companies In Russia Next?	Senators Ron Wyden and Rob Portman want to take away tax breaks for American companies in Russia.	Kenneth Rapoza	May 6, 2022
54	Will Moderna’s Strong Q1 Help Its Beaten Down Stock?	Total revenues rose to around $6.07 billion, with earnings per share standing at $8.58, marking a three-fold increase from the year-ago period when the company just started ramping up its vaccine sales.	Trefis Team	May 6, 2022
55	Hong Kong’s Single-Candidate Election To Anoint Former Policeman As City’s New Leader	John Lee is due to be formally selected as Hong Kong’s new leader on Sunday in an election that features only one candidate. It’s the first election for the city’s top job since Beijing passed legislation last year that ensures only “patriots” govern Hong Kong.	Robert Olsen	May 6, 2022
56	The Fed's Best Weapon To Fight Inflation Is Gold: Why Won’t The Fed Use It?	The Federal Reserve says its actions on Wednesday show it's serious about fighting inflation. Trouble is, it won’t use the best weapon possible: gold.	Steve Forbes	May 6, 2022
57	Should You Sell Your Stocks When The Market Tanks? The Myth Of Missing The Best 10 Days	A well-worn myth about investing is that if you miss just the best 10 days of the market you will have significantly lower returns than if you are invested all the time. But this is not only somewhat absurd but it also ignores how people feel about risk.	Raul Elizalde	May 5, 2022
58	What To Expect From Under Armour’s Stock Post Transition Quarter?	Under Armour (NYSE: UA), a sports equipment company that manufactures footwear, sports, and casual apparel, is scheduled to report its fiscal first-quarter (or transition quarter) results on Friday, May 6.	Trefis Team	May 5, 2022
59	Employee Ownership: Wall Street Agrees That Ownership Works	"A new organization, ""Ownership Works,"" has been established by Wall Street private equity, pension funds, companies, nonprofits and others to encourage companies to embrace employee stock ownership esp. for low-income workers. Expect strong Congressional support for this commonsense idea."	Dean Zerbe	May 5, 2022
60	Technicals Point To More Stock Market Carnage Ahead	Trying to predict the bottom is “like catching a falling pitchfork,” says stock market pundit Jim Stack, especially when the Federal Reserve’s efforts to combat inflation are just beginning.	Hank Tucker	May 5, 2022
61	Update: EZPW, HNGR, OTEX and TPC, May 5	Shares of EZCORP (EZPW) bucked today’s brutal market sell-off, rising more than 8% following the release of its quarterly results last night. Total revenue for Q2 of fiscal 2022 climbed 16.8% year-over-year to $216.0 million as a much higher average level of pawn loans outstanding (PLO) [...]	Taesik Yoon	May 5, 2022
62	Cartoons And Video Games Evolved Into Bitcoin And NFTs	Humans like to create images, starting with cave paintings. Then came prints, cartoons, and finally video gaming, a major occupation of a good fraction of the world's population. It's a short step from video games to Bitcoin and NFT's.	David B. Black	May 5, 2022
63	The Stock Market Panic Is Here	"The ""safety first"" rush is on, and it is a powerful move"	John S. Tobey	May 5, 2022
64	Tech Casualty Shorts	Short on Shopify, Teledoc, Docusign.	Joseph Parnes	May 5, 2022
65	Mainland China Gains On Reopen, Economic Daily Editorial Marks Shift In Regulatory Tone	Asian equities were mixed though mostly lower overnight, failing to follow US equities higher, as Hong Kong underperformed. Mainland China markets reopened to outperformance.	Brendan Ahern	May 5, 2022
66	The Ongoing Saga Of Musk’s Twitter Gamble	Musk took a massive step forward on April 24 by winning board approval for his proposed all cash takeover at $54.20 per share.	Anat Alon-Beck	May 5, 2022
67	Relative Strength Alert For Amazon.com	In trading on Thursday, shares of Amazon.com entered into oversold territory, hitting an RSI reading of 25.6, after changing hands as low as $2315 per share.	Dividend Channel	May 5, 2022
68	This Week In Credit Card News: Inflation Driving Up Credit Card Use; California Embraces Cryptocurrency	What took place this week in the credit card and payment industries	Bill Hardekopf	May 5, 2022
69	Bank On — Financial Inclusion To Benefit Individuals, Banks And Credit Unions	Bank On is a pretty simple concept of certified safe bank accounts that now has over 3.8 million participants across the U.S.	Tom Groenfeldt	May 5, 2022
70	$100 Billion Crypto Crash Sends The Price Of Bitcoin, Ethereum, XRP, Luna, Solana, Cardano And Avalanche Into Free Fall	Bitcoin, ethereum and other major cryptocurrencies have suddenly crashed, wiping around $100 billion from the combined crypto market in mere minutes...	Billy Bambrough	May 5, 2022
71	40,000 Student Loan Borrowers Will Get ‘Immediate Debt Cancellation’ Automatically — But Questions Remain	The Biden administration has indicated that tens of thousands of borrowers will be eligible for “immediate” student loan forgiveness following sweeping changes to key federal student loan programs. But questions remain about the actual timing and implementation of that relief.	Adam S. Minsky	May 5, 2022
72	AMD Crushes Earnings As New Chip Leadership Emerges - Leaving Intel In The Dust	After the close on Tuesday executives at Advanced Micro Devices (AMD) reported blow-out first quarter earnings. The share price performance is important. It’s not time to buy semiconductor stocks.	Jon Markman	May 5, 2022
73	Spirit CEO Says JetBlue Merger Bid Creates Puzzles That Can’t Be Solved	Spirit CEO Ted Christie said JetBlue’s proposed merger has three “puzzle pieces” that make it unlikely to ever occur.	Ted Reed	May 5, 2022
74	Student Loans, Car Payments, Credit Cards: Here’s What Will Cost More As Fed Raises Interest Rates	The Federal Reserve on Wednesday authorized the biggest interest rate hike in 22 years—doubling down on a policy that's already driving up borrowing costs.	Jonathan Ponciano	May 5, 2022
75	Dow Plunges 1,000 Points, Tech Shares Crater As Stocks Erase Gains From Post-Fed Rally	The market had its worst day since 2020.	Sergei Klebnikov	May 5, 2022
76	Wayfair Stock 78% From Peak, As Active Customer Count Falls 23.4%	Wayfair's active customer count is decelerating and its stock has lost 78% of its value. How long before it grows again?	Peter Cohan	May 5, 2022
77	We Need More Teachers. Retirement Benefits Help On This Front	At a time when we need more teachers to address an acute workforce shortfall, pensions can help serve as an important recruitment and retention tool.	Dan Doonan	May 5, 2022
78	Will Paramount’s Streaming Push Help Or Hurt Its Stock?	The year-over-year revenue decline was largely due to the impact of the company’s TV Media division not airing the Super Bowl, which moved to Comcast this year, resulting in lower advertising sales.	Trefis Team	May 5, 2022
79	Don’t Fight The Fed: Sell These Stocks Now	In bull markets, we buy the dips. In bear markets, we sell the rips.	Brett Owens	May 5, 2022
80	Is There A Better Pick Over Medtronic Stock?	Looking at stock returns, CVS’s 18% growth is much better than Medtronic’s -20% change over the last twelve months.	Trefis Team	May 5, 2022
81	Is Snap Stock Fairly Priced?	SNAP is an American camera and social media company, which primarily generates revenue through advertising – Snap Ads and AR Ads (Sponsored Filters and Sponsored Lenses).	Trefis Team	May 5, 2022
82	Student Loan Cancellation: 3 Ways Biden Could Cancel Student Loans	Which way will Biden cancel your student loans?	Zack Friedman	May 5, 2022
83	Why Is The Market Rewarding ADP Stock?	With 14% growth in new business bookings and worksite employees, ADP’s revenues are likely to expand by 9-10% in fiscal 2022.	Trefis Team	May 5, 2022
84	What To Expect From Yelp’s Stock Post Q1?	Yelp has been able to maintain high-teens revenue growth rates and upticks in usage and review creation in 2021 - in terms of company metrics.	Trefis Team	May 5, 2022
85	How Will Mortgage Rates Impact The Real Estate Market And Your Retirement Accounts?	A 5.25% mortgage rate might sound outlandish right now, as we’ve been used to hearing rates that have been historically low in recent history.	Andrew Rosen	May 5, 2022
86	Thai Beverage Billionaire Revives Plan To List Regional Beer Unit In Singapore	Thai Beverage—controlled by Thai billionaire Charoen Sirivadhanabhakdi—has revived plans to list its regional beer business on the Singapore bourse, with the move seen boosting the growth potential of its brewery unit and the group.	Jonathan Burgos	May 5, 2022
87	LT Group Appoints Billionaire Lucio Tan’s Grandson To Vice Chairman As Conglomerate Gears Up For Recovery	Billionaire Lucio Tan’s 29-year-old grandson—Lucio Tan III—has been appointed vice chairman and chief operating officer of LT Group as Tan reorganizes his investment holding company in anticipation of a post-pandemic earnings recovery.	Jonathan Burgos	May 5, 2022
88	The Space Economy: Why Our Solar System Needs A Currency Of Its Own	In the United States alone, the U.S. Chamber of Commerce estimates that $31 billion was invested in the private space economy over the past ten years, nearly a third of which—$10 billion—came during the first three quarters of last year alone.	Meg Christensen	May 4, 2022
89	Coinbase CEO Issues Stunning Crypto Prediction As The Price Of Bitcoin And Ethereum Suddenly Soar	Brian Armstrong, the chief executive of major bitcoin and crypto exchange Coinbase, has predicted there will be a massive influx of crypto users in the coming decade...	Billy Bambrough	May 4, 2022
90	Bitcoin Trailblazer Raises Capital To Create Interplanetary Cryptocurrency	LedgerX founding CEO Paul Chou is building on the sale of the company he created to FTX by creating a new kind of cryptocurrency, Foundation Coin, that can be spent on Earth, the Moon, Mars and beyond.	Michael del Castillo	May 4, 2022
91	Update: HURN and CVS, May 4	Huron Consulting (HURN) gained more than 7% today after reporting very favorable quarterly results yet again after the close of the market yesterday. Indeed, driven by continued strong growth across all three of its operating segments, Q1 revenues climbed 28.0% year-over-year to $260.0 million [...]	Taesik Yoon	May 4, 2022
92	Biden Has Power To Cancel Student Loans For Every Federal Borrower, Attorneys General Say	These attorneys general say President Biden has the legal authority to enact wide-scale student loan cancellation.	Zack Friedman	May 4, 2022
93	Strategies And Tips To Improve Your Life Late In Retirement Or After Disability	Our lives change during retirement and often this means dealing with the onset of limitations. Here are steps to prepare for that in advance.	Anna Rappaport	May 4, 2022
94	Prepare For Summer Travel With These Three Hotel Stocks	With summer just around the corner and travel returning to normal, should you consider the hotel stocks of Hilton Worldwide, Marriott International or Wyndham Hotels & Resorts?	Charles Rotblut	May 4, 2022
95	Finding Value Stocks Trading At A Discount	Value investors seek stocks that are priced attractively relative to some measure of intrinsic worth—for instance, they look for stocks selling at temporarily low multiples of price relative to book value, cash flow, earnings or sales.	Charles Rotblut	May 4, 2022
96	Several Reasons To Target This Cooling Steel Stock	The shares of United States Steel (X) have been losing steam over the past month, but could soon stage a comeback.	Schaeffer's Investment Research	May 4, 2022
97	Dow Jumps 900 Points After Federal Reserve Hikes Interest Rates By Half-Percentage Point	Markets surged higher after a widely-anticipated rate hike from the Federal Reserve.	Sergei Klebnikov	May 4, 2022
98	Earnings Preview: What To Expect From Crocs On Thursday	Crocs Inc. is scheduled to report earnings before Thursday’s open. Here is a closer look.	Adam Sarhan	May 4, 2022
99	Earnings Preview: What To Expect From Shopify On Thursday	Shopify Inc. is scheduled to report earnings. Here is a closer look.	Adam Sarhan	May 4, 2022
100	Should You Take a 401(k) Hardship Withdrawal Now?	Does it make sense to pull money out of your 401(k) for emergencies? Here are the pros and cons.	John F. Wasik	May 4, 2022
101	Fed Authorizes Biggest Interest Rate Hike In 22 Years To Fight Inflation Amid ‘Violent’ Stock Selloff	The Federal Reserve on Wednesday raised interest rates by 50 basis points—the most since May 2000.	Jonathan Ponciano	May 4, 2022
102	Should Biden Cancel Your Student Loans If You Already Paid Them?	Student loan cancellation if you already paid your student loans.	Zack Friedman	May 4, 2022
103	Crypto Winter? NFTs Down 92%, OpenSea Installs Down 94%, Veve Down 99%, Crypto Apps Down 64%	Value in collectibles is driven by rarity, and true rarity is ... rare. This is by design. But when Beeple and groups like the Bored Ape Yacht Club started raking in multi-millions from JPEGs and GIFs, everyone and her dog piled into the NFT market.	John Koetsier	May 4, 2022
104	Student Loan Forgiveness: Education Department Launches Appeal Process For Public Service Borrowers	The Biden administration has finally launched a formal appeal and reconsideration process for borrowers denied student loan forgiveness under a key program for people working in public service careers. Here are the details.	Adam S. Minsky	May 4, 2022
105	GameFi: Is This Another Crypto Investor Boondoggle Or What?	GameFi tokens like Axie Infinity are now in a deep bear market. That has more to do with investor sentiment than a swipe on the play-to-earn blockchain gamer market that’s growing fast.	Kenneth Rapoza	May 4, 2022
106	Moderna Stock Jumps Nearly 6% After Vaccine Sales More Than Triple From Last Year	Shares moved lower despite strong earnings results from the vaccine maker.	Sergei Klebnikov	May 4, 2022
107	Warren Buffett Says Crytpo “Doesn’t Produce Anything”	Warren Buffett has shared his opinions on crypto once again. Here's what it all means for investors curious about crypto.	Q.ai - Powering a Personal Wealth Movement	May 4, 2022
108	Internet Stocks Clipped In Hong Kong, Mainland Markets To Reopen Tomorrow	Asian equities were mixed but mostly lower overnight as Hong Kong was a significant laggard and Mainland China was closed.	Brendan Ahern	May 4, 2022
109	What’s Happening With Novavax Stock?	Covid-19 vaccine developer Novavax’s stock (NASDAQ: NVAX) has had a rough 2022 so far, remaining down by almost 60% year-to-date.	Trefis Team	May 4, 2022
110	Sanctioning Russia On The Blockchain: Following The Money To A Network Of OTC Providers	Unlike in the west, Russia has a vast amount of pawnshop-like Over-The-Counter providers that allow customers to cash out Crypto to Cash with little to no regulatory oversight. A system that can be easily adopted for sanction circumvention and might be investigated by legislators.	Michal Gromek	May 4, 2022
111	Weaponizing Tax Treaties: Time To Get Tough With Russia And Cyprus	David Morse of the Coalition for a Prosperous America and Martin A. Sullivan of Tax Notes discuss what the United States’ tax response to Russia’s invasion of Ukraine should be.	Tax Notes Staff	May 4, 2022
112	3 REITs With Hidden Inflation Hedges, Yields Up To 8.4%	Let’s not fall in love with our dividend stocks—as this can be a big mistake in a dumpster-fire year like 2022.	Brett Owens	May 4, 2022
113	Ex-Dividend Reminder: Apple, National Instruments And Texas Instruments	On 5/6/22, Apple, National Instruments, and Texas Instruments will all trade ex-dividend for their respective upcoming dividends.	Dividend Channel	May 4, 2022
114	Student Loan Forgiveness: Here’s Who Benefits The Most From Loan Cancellation	Student loan cancellation would not only provide substantial relief to millions of borrowers, but would also help narrow the racial wealth gap and advance racial equity, according to a new analysis released by Senator Elizabeth Warren.	Shahar Ziv	May 4, 2022
115	How Will The Inflation Theme Fare As Big Rate Hikes Loom?	The outperformance is driven by surging prices, with U.S. inflation hitting fresh 40-year highs of around 8.5% in March amid continued supply-side constraints following the Covid-19 reopening, a tight labor market, and the impacts of the Russian invasion of Ukraine which has resulted in surging e...	Trefis Team	May 4, 2022
116	How Paris Hilton And Snoop Dogg Animated Their Bored Apes, What The Technology Could Mean For Brands	Jenkins-Robbins has secured strategic investment from NFT entrepreneur GMoney, Zoom founder Eric Yuan, billionaire investor Mark Cuban, Tony Robbins, Pitbull and Paris Hilton herself.	Stephanie Hirschmiller	May 4, 2022
117	The Benefits Of Staying Invested Even When Stocks Are Down	Running to the sidelines in today’s market environment could result in significantly lower long-term returns	Joel Johnson	May 4, 2022
118	Is There A Better Pick Over Coca-Cola Stock?	If we look at stock returns, Coca-Cola’s 16% growth is much better than the -7% change for Home Depot over the last twelve months.	Trefis Team	May 4, 2022
119	If Biden Cancels Student Loans, He Must Address These 5 Things	5 things to know for your student loans.	Zack Friedman	May 4, 2022
120	Booking Holdings To Trade Higher Post Q1 Results?	Booking Holdings derives a majority of its revenue from the European market, which has undertaken a series of economic measures in response to Russia’s invasion of Ukraine.	Trefis Team	May 4, 2022
121	Why Russia’s Natural Gas Leverage Won’t Last Much Longer	Renewable energy is the new geopolitical battle front, new book says. The Russia-EU battle of gas payments and supply is case in point.	Kenneth Rapoza	May 4, 2022
122	‘Revolutionize Wall Street’—$85 Billion Giant Pushes Into NFTs As Price Of Ethereum, Bitcoin, BNB, XRP, Solana, Cardano, And Dogecoin Soar	The NFT market scored a landmark achievement. One of the world’s largest asset managers is releasing the first-ever institutional NFT. Meanwhile, the price of ethereum, bitcoin, BNB, XRP, solana, cardano, and dogecoin tick higher.	Dan Runkevicius	May 4, 2022
123	Fintech Stocks Have Tumbled. What Next?	Our theme of Fintech Stocks – which includes digital payments and lending players, card networks, and insurance technology players – is having a tough 2022, declining by about 25% year-to-date, marginally underperforming the Nasdaq-100 which remains down 21% over the same period.	Trefis Team	May 4, 2022
124	Meet Mark Zuckerberg’s Harvard Classmate Who Is Trying To Build A Global Startup Factory	By investing in hundreds of startups at the earliest stages and targeting overlooked markets, Magnus Grimeland and Antler are putting their own twist on the entrepreneurial dream.	Kevin Dowd	May 4, 2022
125	Widjaja Family’s Golden Energy And Resources Completes $1.2 Billion Acquisition Of BHP’s Australian Coal Mines	Golden Energy and Resources—controlled by the Widjaja family—has completed its acquisition of an 80% stake in coal miner BHP Mitsui Coal for $1.2 billion, according to a filing to the Singapore Stock Exchange on Tuesday.	Yessar Rosendar	May 4, 2022
126	Forbes Asia 100 To Watch 2022: Nominations Are Open	In September 2022, Forbes Asia will again recognize small companies and startups on the rise for the second edition of the 100 to Watch list.	John Kang	May 4, 2022
127	Meta Makes First Asia Investment With Mental Health Startup’s $3 Million Seed Round	As an Asian mental wellness pioneer, Singapore and Jakarta-based Ami seeks to change narratives about company well-being in the region—and investors see the benefits.	Catherine Wang	May 4, 2022
128	Crypto Price Alert: Fed Triggers Stark $10,000 Bitcoin Crash Warning	A veteran trader has warned the bitcoin price could fall as low as $28,000, down $10,000 per bitcoin from its current price...	Billy Bambrough	May 3, 2022
129	Huge 2022 Ethereum Price Prediction Comes With A Serious BNB, Solana, Cardano, Avalanche And Polkadot Warning	A panel of 36 industry experts has returned an ethereum price prediction of almost $5,800 by the end of 2022—more than double its current level of $2,800...	Billy Bambrough	May 3, 2022
130	Bureau Of Prisons Awards Program Under Fire By Local Unions	The Bureau of Prisons has an incentive bonus program that is meant to not only reward those who go above their duty to make the agency better, but it also is meant to keep morale high. A closer look at one institution shows that this plan may be not rewarding the best people and demoralizing staff.	Walter Pavlo	May 3, 2022
131	Royal Flush: Inside Crypto’s Most Exclusive Gathering	Dubbed “Crypto Bahamas”, the four-day conference has brought together heads of state, Wall Street veterans, celebrities and crypto’s richest.	Nina Bambysheva	May 3, 2022
132	Biden Hints At $125,000 Income Limit For Student Loan Forgiveness, Here’s Why	Here’s why President Biden's administration has hinted at $125,000 income limit for student loan forgiveness	Shahar Ziv	May 3, 2022
133	NFT Growing Pains: ‘Blue Chip’ Success Exposes Ethereum Weaknesses And Market Strengths	The same day Yuga Labs raised $285 million selling 10,000 Bored Ape NFTs the broader market bottomed out at 90% below its all-time high.	Michael del Castillo	May 3, 2022
